"start_datetime_utc","end_datetime_utc","creation_datetime_utc","number_of_nights","total_night_cost","total_space_capacity","number_of_guests","lead_time_days","stay_length_days","cancellation_reason","settlement_type","reservation_state","origin","commander_origin","travel_agency","is_online_checkin","nationality_code","gender","classification","age_group","has_email","enterprise_time_zone","business_segment","tier","rate_id","cost_per_night","night_cost_per_unit_capacity","space_occupancy_rate","creation_week_day","rate_name"
"2019-08-21 13:00:00+00","2019-08-22 10:00:00+00","2019-08-19 17:57:51.753463+00",2,"363.10298304",4,4,2,1,NULL,0,3,1,NULL,"Booking.com",0,"SK",1,0,45,1,2,"OTAs",1,"C0595866-7641-424E-9C53-B2FF82C366F9","181.55149152","45.38787288","1.00","Monday","Fully Flexible"
"2019-08-30 13:00:00+00","2019-08-31 10:00:00+00","2019-08-25 11:35:21.702175+00",1,"313.93278742",0,1,5,1,10,0,4,1,NULL,"Mr & Mrs Smith",0,"AS",1,0,0,1,2,"OTA Netto",1,"C0595866-7641-424E-9C53-B2FF82C366F9","313.93278742","313.93278742","1","Sunday","Fully Flexible"
"2019-08-14 10:13:59.08819+00","2019-08-16 10:00:00+00","2019-08-02 17:51:21.727818+00",2,"540.91074695",4,4,12,2,NULL,0,3,1,NULL,"Booking.com",1,"SA",1,0,25,1,2,"OTAs",1,"C0595866-7641-424E-9C53-B2FF82C366F9","270.455373475","67.61384336875","1.00","Friday","Fully Flexible"
"2019-08-26 13:00:00+00","2019-08-28 10:00:00+00","2019-08-21 11:29:11.825975+00",2,"504.12958806",0,4,5,2,10,0,4,1,NULL,"Booking.com",0,"ES",1,0,0,1,2,"OTAs",1,"C0595866-7641-424E-9C53-B2FF82C366F9","252.06479403","63.0161985075","1","Wednesday","Fully Flexible"
"2019-08-22 13:00:00+00","2019-08-25 08:30:48.220711+00","2019-08-20 15:31:25.482732+00",3,"533.19172095",9,9,2,3,NULL,1,3,1,NULL,"Booking.com",0,"IT",1,0,45,1,2,"OTAs",1,"7D843D4A-C386-4293-A80A-9A56504EF4C3","177.73057365","19.747841516666668","1.00","Tuesday","Min 3 nights"
"2019-08-27 13:00:00+00","2019-08-29 10:00:00+00","2019-08-19 15:39:29.045547+00",2,"487.99682372",6,4,8,2,NULL,0,3,1,NULL,"Expedia GB",1,"US",1,0,55,1,2,"OTA Netto",1,"C0595866-7641-424E-9C53-B2FF82C366F9","243.99841186","40.66640197666667","0.67","Monday","Fully Flexible"
"2019-08-05 08:44:21.855591+00","2019-08-07 04:31:37.43975+00","2019-08-04 10:07:11.634552+00",2,"194.05631364",4,2,1,2,NULL,1,3,2,4,NULL,0,"CA",2,32,35,1,2,"Leisure",1,"5CDDFCD3-F5B9-4C21-93AF-F6219B407A7B","97.02815682","24.257039205","0.50","Sunday","Non Refundable BAR BB "
"2019-08-07 13:00:00+00","2019-08-10 10:00:00+00","2019-08-06 22:45:14.13234+00",3,"501.65949974",6,6,0,3,NULL,1,3,1,NULL,"Booking.com",0,"DE",1,0,0,1,2,"OTAs",1,"7D843D4A-C386-4293-A80A-9A56504EF4C3","167.21983324666667","27.869972207777778","1.00","Tuesday","Min 3 nights"
"2019-08-05 13:00:00+00","2019-08-07 06:36:08.942461+00","2019-08-01 14:06:17.33458+00",2,"158.93474534",4,2,4,2,NULL,0,3,2,4,NULL,0,"GB",2,32,35,1,2,"Direct Business",1,"C0595866-7641-424E-9C53-B2FF82C366F9","79.46737267","19.8668431675","0.50","Thursday","Fully Flexible"
"2019-08-26 13:00:00+00","2019-08-28 10:00:00+00","2019-08-13 11:37:09.621282+00",2,"293.94",0,4,13,2,10,0,4,1,NULL,"Expedia GB",0,NULL,1,0,0,1,2,"OTA Netto",1,"C0595866-7641-424E-9C53-B2FF82C366F9","146.97","36.7425","1","Tuesday","Fully Flexible"
"2019-08-27 13:00:00+00","2019-08-28 08:24:40.437544+00","2019-08-27 10:16:33.180481+00",1,"207.44882375",3,2,0,1,NULL,0,3,1,NULL,"Booking.com",0,"SK",1,0,45,0,2,"OTAs",1,"C0595866-7641-424E-9C53-B2FF82C366F9","207.44882375","69.14960791666667","0.67","Tuesday","Fully Flexible"
"2019-08-07 12:08:43.36447+00","2019-08-10 10:00:00+00","2019-08-06 03:33:12.765363+00",3,"1112.58181251",6,3,1,3,NULL,0,3,1,NULL,"Booking.com",0,"SA",1,32,25,1,2,"OTAs",1,"C0595866-7641-424E-9C53-B2FF82C366F9","370.86060417","61.810100694999996","0.50","Tuesday","Fully Flexible"
"2019-08-20 13:00:00+00","2019-08-21 08:12:41.871221+00","2019-08-20 14:03:18.235294+00",1,"238.74947418",3,2,0,1,NULL,0,3,1,NULL,"Booking.com",0,"DE",2,0,45,1,2,"OTAs",1,"C0595866-7641-424E-9C53-B2FF82C366F9","238.74947418","79.58315806","0.67","Tuesday","Fully Flexible"
"2019-08-27 09:25:47.929691+00","2019-08-31 10:00:00+00","2019-08-26 23:22:25.840463+00",4,"755.07512332",12,12,0,4,NULL,1,3,2,4,NULL,0,"IL",1,0,45,1,2,"Leisure",1,"5CDDFCD3-F5B9-4C21-93AF-F6219B407A7B","188.76878083","15.730731735833333","1.00","Monday","Non Refundable BAR BB "
"2019-08-25 13:00:00+00","2019-08-26 10:00:00+00","2019-08-08 18:45:13.25033+00",1,"218.49",0,1,17,1,10,0,4,1,NULL,"Booking.com",0,NULL,1,0,0,1,2,"OTAs",1,"C0595866-7641-424E-9C53-B2FF82C366F9","218.49","218.49","1","Thursday","Fully Flexible"
"2019-08-13 13:00:00+00","2019-08-15 07:11:54.764499+00","2019-08-13 13:41:09.003297+00",2,"374.14119022",4,4,0,2,NULL,0,3,1,NULL,"Booking.com",0,"FR",1,0,45,1,2,"OTAs",1,"C0595866-7641-424E-9C53-B2FF82C366F9","187.07059511","46.7676487775","1.00","Tuesday","Fully Flexible"
"2019-08-25 13:00:00+00","2019-08-28 10:00:00+00","2019-08-20 09:11:39.229666+00",3,"715.32213942",0,6,5,3,0,1,4,2,4,NULL,0,"AT",1,0,100,1,2,"Leisure",1,"7D843D4A-C386-4293-A80A-9A56504EF4C3","238.44071313999999","39.74011885666667","1","Tuesday","Min 3 nights"
"2019-08-05 10:54:32.485984+00","2019-08-07 11:00:00+00","2019-08-05 08:25:29.015838+00",2,"189.116137",4,4,0,2,NULL,1,3,2,1,NULL,0,"GB",1,0,25,1,2,"FIT",1,"5CDDFCD3-F5B9-4C21-93AF-F6219B407A7B","94.5580685","23.639517125","1.00","Monday","Non Refundable BAR BB "
"2019-08-24 13:00:00+00","2019-08-25 10:00:00+00","2019-08-17 12:23:35.107034+00",1,"215.82396696",0,1,7,1,10,0,4,1,NULL,"Booking.com",0,"DE",1,0,0,1,2,"OTAs",1,"C0595866-7641-424E-9C53-B2FF82C366F9","215.82396696","215.82396696","1","Saturday","Fully Flexible"
"2019-08-20 13:00:00+00","2019-08-22 05:41:46.32146+00","2019-08-19 09:35:06.935108+00",2,"561.52054637",4,2,1,2,NULL,0,3,1,NULL,"Expedia GB",0,"AT",1,0,35,1,2,"OTA Netto",1,"C0595866-7641-424E-9C53-B2FF82C366F9","280.760273185","70.19006829625","0.50","Monday","Fully Flexible"
"2019-08-14 13:00:00+00","2019-08-15 07:52:48.135486+00","2019-08-06 08:31:27.487476+00",1,"299.99994549",2,1,8,1,NULL,0,3,1,NULL,"Booking.com",0,"GB",1,0,35,0,2,"OTAs",1,"C0595866-7641-424E-9C53-B2FF82C366F9","299.99994549","149.999972745","0.50","Tuesday","Fully Flexible"
"2019-08-10 08:31:37.86421+00","2019-08-16 10:00:00+00","2019-08-09 16:37:51.395648+00",6,"1268.31316206",12,12,1,6,NULL,0,3,2,1,NULL,0,"QA",1,0,25,1,2,"OTAs",1,"C0595866-7641-424E-9C53-B2FF82C366F9","211.38552701","17.615460584166666","1.00","Friday","Fully Flexible"
