"month_date","total_reservations","total_night_cost","number_of_offline_checkin","total_cost_of_offline_checkin_reservations","number_of_online_checkin","total_cost_of_online_checkin_reservations"
"2019-08-01 00:00:00+00","225","97179.36808137","199","86085.45261863","26","11093.91546274"
"2019-09-01 00:00:00+00","337","159158.17066899993","307","140130.813566","30","19027.357103"
"2019-10-01 00:00:00+00","434","211434.75912200008","375","172250.212511","59","39184.546611"
"2019-11-01 00:00:00+00","217","82482.04870600002","207","76273.202465","10","6208.846241"
"2019-12-01 00:00:00+00","196","119343.94302800013","189","114718.456046","7","4625.486982"
"2020-01-01 00:00:00+00","87","24690.593125000007","86","24000.413881","1","690.179244"
"2020-02-01 00:00:00+00","42","12483.748597999998","39","11796.102480","3","687.646118"
"2020-03-01 00:00:00+00","50","13881.725968999997","50","13881.725969","0","0"
"2020-04-01 00:00:00+00","94","52914.56964200003","90","50687.105942","4","2227.463700"
"2020-05-01 00:00:00+00","79","39477.49443200001","76","37230.027636","3","2247.466796"
"2020-06-01 00:00:00+00","26","16723.187267999998","26","16723.187268","0","0"
"2020-07-01 00:00:00+00","7","4420.989742","6","3491.605518","1","929.384224"
"2020-08-01 00:00:00+00","4","2258.144898","4","2258.144898","0","0"
"2020-09-01 00:00:00+00","7","4988.620247999999","7","4988.620248","0","0"
"2020-10-01 00:00:00+00","1","721.278228","1","721.278228","0","0"
